tick,time_s,status,ran_steps,cum_steps,reload,mark_reload,temp_K,density_m3,n_ratio,pressure_Pa,shield_hits,shield_reemit
311,18660,1,2500,775000,0,0,0,0,0,0,0,0
312,18720,1,2500,777500,0,0,0,0,0,0,0,0
313,18780,1,2500,780000,0,0,0,0,0,0,0,0
314,18840,1,2500,782500,0,0,0,0,0,0,0,0
315,18900,1,2500,785000,0,0,0,0,0,0,0,0
316,18960,1,2500,787500,0,0,0,0,0,0,0,0
317,19020,1,2500,790000,0,0,0,0,0,0,0,0
318,19080,1,2500,792500,0,0,0,0,0,0,0,0
319,19140,1,2500,795000,0,0,0,0,0,0,0,0
320,19200,1,2500,797500,0,0,0,0,0,0,0,0
321,19260,1,2500,800000,0,0,0,0,0,0,0,0
322,19320,1,2500,802500,0,0,0,0,0,0,0,0
323,19380,1,2500,805000,0,0,0,0,0,0,0,0
324,19440,1,2500,807500,0,0,0,0,0,0,0,0
325,19500,1,2500,810000,0,0,0,0,0,0,0,0
326,19560,1,2500,812500,0,0,0,0,0,0,0,0
327,19620,1,2500,815000,0,0,0,0,0,0,0,0
328,19680,1,2500,817500,0,0,0,0,0,0,0,0
329,19740,1,2500,820000,0,0,0,0,0,0,0,0
330,19800,1,2500,822500,0,0,0,0,0,0,0,0
331,19860,1,2500,825000,0,0,0,0,0,0,0,0
332,19920,1,2500,827500,0,0,0,0,0,0,0,0
333,19980,1,2500,830000,0,0,0,0,0,0,0,0
334,20040,1,2500,832500,0,0,0,0,0,0,0,0
335,20100,1,2500,835000,0,0,0,0,0,0,0,0
336,20160,1,2500,837500,0,0,0,0,0,0,0,0
337,20220,1,2500,840000,0,0,0,0,0,0,0,0
338,20280,1,2500,842500,0,0,0,0,0,0,0,0
339,20340,1,2500,845000,0,0,0,0,0,0,0,0
340,20400,1,2500,847500,0,0,0,0,0,0,0,0
341,20460,1,2500,850000,0,0,0,0,0,0,0,0
342,20520,1,2500,852500,0,0,0,0,0,0,0,0
343,20580,1,2500,855000,0,0,0,0,0,0,0,0
344,20640,1,2500,857500,0,0,0,0,0,0,0,0
345,20700,1,2500,860000,0,0,0,0,0,0,0,0
346,20760,1,2500,862500,0,0,0,0,0,0,0,0
347,20820,1,2500,865000,0,0,0,0,0,0,0,0
348,20880,1,2500,867500,0,0,0,0,0,0,0,0
349,20940,1,2500,870000,0,0,0,0,0,0,0,0
350,21000,1,2500,872500,0,0,0,0,0,0,0,0
351,21060,1,2500,875000,0,0,0,0,0,0,0,0
352,21120,1,2500,877500,0,0,0,0,0,0,0,0
353,21180,1,2500,880000,0,0,0,0,0,0,0,0
354,21240,1,2500,882500,0,0,0,0,0,0,0,0
355,21300,1,2500,885000,0,0,0,0,0,0,0,0
356,21360,1,2500,887500,0,0,0,0,0,0,0,0
357,21420,1,2500,890000,0,0,0,0,0,0,0,0
358,21480,1,2500,892500,0,0,0,0,0,0,0,0
359,21540,1,2500,895000,0,0,0,0,0,0,0,0
360,21600,1,2500,897500,0,0,0,0,0,0,0,0
361,21660,1,2500,900000,0,0,0,0,0,0,0,0
362,21720,1,2500,902500,0,0,0,0,0,0,0,0
363,21780,1,2500,905000,0,0,0,0,0,0,0,0
364,21840,1,2500,907500,0,0,0,0,0,0,0,0
365,21900,1,2500,910000,0,0,0,0,0,0,0,0
