tick,time_s,status,available_added,requested,granted,remaining
481,28860,1,1480.49,1649,1649,0
482,28920,1,1441,1649,1649,0
483,28980,1,1398.87,1649,1649,0
484,29040,1,1354.28,1649,1649,0
485,29100,1,1307.45,1649,1649,0
486,29160,1,1258.57,1649,1649,0
487,29220,1,1207.87,1649,1649,0
488,29280,1,1155.56,1649,1649,0
489,29340,1,1101.9,1649,1649,0
490,29400,1,1047.11,1649,1649,0
491,29460,1,991.438,1649,1649,0
492,29520,1,935.136,1649,1649,0
493,29580,1,878.454,1649,1649,0
494,29640,1,0,1649,1360.2,0
495,29700,1,0,1649,0,0
496,29760,1,0,1649,0,0
497,29820,1,0,1649,0,0
498,29880,1,0,1649,0,0
499,29940,1,0,5,0,0
500,30000,1,0,0,0,0
501,30060,1,0,0,0,0
502,30120,1,0,0,0,0
503,30180,1,0,0,0,0
504,30240,1,0,0,0,0
505,30300,1,0,0,0,0
506,30360,1,0,0,0,0
507,30420,1,0,0,0,0
508,30480,1,0,0,0,0
509,30540,1,0,0,0,0
510,30600,1,0,0,0,0
511,30660,1,0,0,0,0
512,30720,1,0,0,0,0
513,30780,1,0,0,0,0
514,30840,1,0,0,0,0
515,30900,1,0,0,0,0
516,30960,1,0,0,0,0
517,31020,1,0,0,0,0
518,31080,1,0,0,0,0
519,31140,1,0,0,0,0
520,31200,1,0,0,0,0
521,31260,1,0,0,0,0
522,31320,1,0,0,0,0
523,31380,1,0,0,0,0
524,31440,1,0,0,0,0
525,31500,1,0,0,0,0
526,31560,1,0,0,0,0
527,31620,1,0,0,0,0
528,31680,1,0,0,0,0
529,31740,1,0,0,0,0
530,31800,1,0,0,0,0
531,31860,1,0,0,0,0
532,31920,1,0,0,0,0
533,31980,1,0,0,0,0
534,32040,1,0,0,0,0
535,32100,1,0,0,0,0
536,32160,1,0,0,0,0
537,32220,1,0,0,0,0
538,32280,1,0,0,0,0
539,32340,1,0,0,0,0
540,32400,1,0,0,0,0
541,32460,1,878.454,0,0,878.454
542,32520,1,935.136,0,0,935.136
543,32580,1,991.438,0,0,991.438
544,32640,1,1047.11,0,0,1047.11
545,32700,1,1101.9,0,0,1101.9
546,32760,1,1155.56,0,0,1155.56
547,32820,1,1207.87,0,0,1207.87
548,32880,1,1258.57,0,0,1258.57
549,32940,1,1307.45,0,0,1307.45
550,33000,1,1354.28,0,0,1354.28
551,33060,1,1398.87,0,0,1398.87
552,33120,1,1441,0,0,1441
553,33180,1,1480.49,0,0,1480.49
554,33240,1,1517.17,0,0,1517.17
555,33300,1,1550.87,1440,1440,110.867
556,33360,1,1581.43,1445,1445,141.434
557,33420,1,1608.74,1445,1445,168.736
558,33480,1,1632.65,1445,1445,192.648
559,33540,1,1653.07,1445,1445,213.066
560,33600,1,1669.9,1445,1445,229.897
561,33660,1,1683.07,1445,1445,243.066
562,33720,1,1692.52,1445,1445,252.515
563,33780,1,1698.2,1445,1445,258.202
564,33840,1,1700.1,1445,1445,260.1
565,33900,1,1698.2,1445,1445,258.202
566,33960,1,1692.52,1445,1445,252.515
567,34020,1,1683.07,1445,1445,243.066
568,34080,1,1669.9,1445,1445,229.897
569,34140,1,1653.07,1445,1445,213.066
570,34200,1,1632.65,1445,1445,192.648
571,34260,1,1608.74,1445,1445,168.736
572,34320,1,1581.43,1445,1445,141.434
573,34380,1,1550.87,1445,1445,110.867
574,34440,1,1517.17,1445,1445,77.1687
575,34500,1,1480.49,1445,1445,40.4914
576,34560,1,1441,1445,1445,0.998323
577,34620,1,1398.87,1445,1445,0
578,34680,1,1354.28,1445,1445,0
579,34740,1,1307.45,1445,1445,0
580,34800,1,1258.57,1445,1445,0
581,34860,1,1207.87,1445,1445,0
582,34920,1,1155.56,1445,1445,0
583,34980,1,1101.9,1445,1445,0
584,35040,1,1047.11,1445,1445,0
585,35100,1,991.438,1445,1445,0
586,35160,1,935.136,1445,1445,0
587,35220,1,878.454,1445,1445,0
